minuto,jugador,equipo,liga,tipo_intervencion,estadio,arbitro,decision_inicial,decision_final,resultado_correcto
93,Jugador_337,Boca,Argentina,on-field review,Libertadores de América,Dean,gol,penal,1
2,Jugador_104,San Lorenzo,Argentina,on-field review,Tomás Ducó,Rapallini,roja,penal,1
51,Jugador_457,Independiente,Argentina,silent check,Bombonera,Tello,gol,gol,1
15,Jugador_365,Rosario Central,Argentina,on-field review,Tomás Ducó,Atkinson,roja,roja,1
93,Jugador_46,Huracán,Argentina,silent check,Nuevo Gasómetro,Pitana,offside,gol,1
11,Jugador_372,Tottenham,Premier League,on-field review,Stamford Bridge,Oliver,roja,penal,0
17,Jugador_40,Tottenham,Premier League,on-field review,Anfield,Taylor,roja,penal,0
3,Jugador_181,Newcastle,Premier League,silent check,Anfield,Lousteau,roja,roja,0
92,Jugador_65,Newells,Argentina,silent check,Tomás Ducó,Pitana,offside,offside,1
3,Jugador_128,River,Argentina,silent check,Cilindro,Dean,offside,roja,0
89,Jugador_442,Independiente,Argentina,on-field review,Monumental,Dean,gol,gol,1
7,Jugador_243,Independiente,Argentina,silent check,Libertadores de América,Taylor,penal,offside,0
30,Jugador_214,San Lorenzo,Argentina,silent check,Cilindro,Taylor,offside,penal,1
81,Jugador_442,Newells,Argentina,on-field review,Tomás Ducó,Rapallini,gol,penal,1
93,Jugador_439,Independiente,Argentina,silent check,Libertadores de América,Dean,gol,roja,1
84,Jugador_114,San Lorenzo,Argentina,on-field review,Tomás Ducó,Tello,offside,penal,0
58,Jugador_427,Racing,Argentina,on-field review,Libertadores de América,Tello,roja,penal,1
88,Jugador_399,Newells,Argentina,silent check,Nuevo Gasómetro,Dean,roja,penal,0
91,Jugador_88,Huracán,Argentina,silent check,Tomás Ducó,Atkinson,roja,roja,1
61,Jugador_5,River,Argentina,silent check,Nuevo Gasómetro,Atkinson,penal,roja,1
66,Jugador_487,Liverpool,Premier League,silent check,Tottenham Stadium,Dean,penal,gol,1
86,Jugador_162,Tottenham,Premier League,on-field review,Stamford Bridge,Dean,offside,roja,0
37,Jugador_470,Manchester United,Premier League,on-field review,Etihad,Atkinson,roja,gol,0
78,Jugador_413,Manchester United,Premier League,on-field review,Tottenham Stadium,Oliver,gol,penal,1
3,Jugador_84,Rosario Central,Argentina,on-field review,Libertadores de América,Dean,roja,offside,0
29,Jugador_48,San Lorenzo,Argentina,on-field review,Monumental,Tello,roja,offside,0
24,Jugador_461,Aston Villa,Premier League,silent check,Tottenham Stadium,Tello,roja,roja,0
71,Jugador_485,Arsenal,Premier League,on-field review,Stamford Bridge,Taylor,offside,penal,0
95,Jugador_150,Rosario Central,Argentina,silent check,Tomás Ducó,Lousteau,penal,offside,0
40,Jugador_97,Manchester City,Premier League,silent check,Anfield,Atkinson,gol,roja,1
16,Jugador_73,Aston Villa,Premier League,on-field review,Tottenham Stadium,Taylor,gol,offside,0
1,Jugador_438,San Lorenzo,Argentina,on-field review,Bombonera,Atkinson,penal,offside,1
38,Jugador_102,Manchester United,Premier League,on-field review,Old Trafford,Rapallini,gol,penal,0
7,Jugador_159,Liverpool,Premier League,silent check,Emirates,Pitana,gol,roja,0
73,Jugador_369,River,Argentina,on-field review,Libertadores de América,Atkinson,gol,penal,1
15,Jugador_222,Chelsea,Premier League,on-field review,Etihad,Dean,gol,roja,1
53,Jugador_312,Liverpool,Premier League,silent check,Emirates,Pitana,gol,penal,0
92,Jugador_72,San Lorenzo,Argentina,silent check,Nuevo Gasómetro,Oliver,penal,gol,1
59,Jugador_350,Rosario Central,Argentina,on-field review,Cilindro,Atkinson,roja,gol,0
48,Jugador_258,Chelsea,Premier League,on-field review,Tottenham Stadium,Oliver,offside,penal,0
25,Jugador_380,Newcastle,Premier League,on-field review,Emirates,Atkinson,gol,penal,1
61,Jugador_70,Tottenham,Premier League,silent check,Emirates,Lousteau,roja,offside,1
64,Jugador_441,Tottenham,Premier League,on-field review,Anfield,Oliver,roja,gol,0
67,Jugador_430,San Lorenzo,Argentina,silent check,Nuevo Gasómetro,Tello,offside,roja,1
56,Jugador_484,River,Argentina,silent check,Cilindro,Rapallini,offside,gol,1
80,Jugador_367,Arsenal,Premier League,silent check,Etihad,Dean,penal,offside,1
37,Jugador_241,Tottenham,Premier League,on-field review,Anfield,Dean,roja,offside,1
86,Jugador_361,Independiente,Argentina,on-field review,Bombonera,Lousteau,roja,offside,1
8,Jugador_242,Rosario Central,Argentina,on-field review,Nuevo Gasómetro,Oliver,gol,offside,0
85,Jugador_343,Tottenham,Premier League,on-field review,Stamford Bridge,Taylor,penal,gol,1
62,Jugador_458,Huracán,Argentina,silent check,Bombonera,Lousteau,roja,roja,0
23,Jugador_52,Huracán,Argentina,silent check,Cilindro,Dean,gol,roja,1
9,Jugador_415,Chelsea,Premier League,silent check,Stamford Bridge,Pitana,roja,roja,1
52,Jugador_370,Liverpool,Premier League,on-field review,Etihad,Lousteau,roja,gol,1
35,Jugador_128,San Lorenzo,Argentina,on-field review,Cilindro,Lousteau,roja,gol,0
53,Jugador_397,Huracán,Argentina,on-field review,Nuevo Gasómetro,Atkinson,gol,roja,0
35,Jugador_137,Newells,Argentina,on-field review,Libertadores de América,Lousteau,gol,penal,0
